Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
INDIANA,2017,2,,-,3,,8,,,-,8,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2017,2,2,,3,,16,,3,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
RHODE ISLAND,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2017,2,,-,1,,10,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW YORK,2017,2,,-,5,,25,,6,,6,,,-,1,,3,,,-,,-,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2017,2,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
COLORADO,2017,2,6,,3,,14,,8,,1,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MONTANA,2017,2,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
W.N. CENTRAL,2017,2,2,,26,,107,,3,,23,,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,,
GUAM,2017,2,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WYOMING,2017,2,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEVADA,2017,2,,-,0,,3,,,-,3,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
UTAH,2017,2,,-,3,,24,,,-,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
GEORGIA,2017,2,4,,6,,25,,8,,17,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW ENGLAND,2017,2,,-,7,,23,,,-,5,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,,
KANSAS,2017,2,,-,2,,7,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2017,2,,-,2,,10,,,-,5,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW MEXICO,2017,3,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2017,3,1,,0,,2,,1,,3,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2017,3,,-,5,,25,,6,,10,,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WASHINGTON,2017,3,,-,0,,34,,,-,,-,,-,0,,2,,,-,4,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2017,3,3,,12,,33,,10,,9,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
INDIANA,2017,3,,-,3,,8,,1,,12,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
IOWA,2017,3,1,,9,,65,,1,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
AMER. SAMOA,2017,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
GEORGIA,2017,3,,-,6,,25,,8,,24,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2017,3,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
W.S. CENTRAL,2017,3,5,,17,,39,,15,,12,,,-,1,,4,,,-,2,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,3,7,,15,,123,,19,,28,,,-,0,,4,,,-,3,,,-,0,,1,,,-,,-,,
KANSAS,2017,3,,-,2,,7,,,-,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VERMONT,2017,3,1,,1,,10,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2017,3,2,,3,,16,,5,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
ARIZONA,2017,3,2,,2,,81,,5,,4,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
OHIO,2017,3,5,,12,,206,,17,,25,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2017,3,2,,7,,24,,9,,16,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
W.N. CENTRAL,2017,3,3,,26,,107,,6,,39,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MICHIGAN,2017,3,,-,6,,19,,,-,11,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2017,3,,-,5,,50,,3,,11,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
PACIFIC,2017,3,4,,13,,47,,17,,27,,,-,3,,19,,,-,59,,,-,0,,1,,,-,,-,,
LOUISIANA,2017,3,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WYOMING,2017,3,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
COLORADO,2017,3,1,,3,,14,,9,,4,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
S. ATLANTIC,2017,3,12,,25,,79,,31,,92,,,-,2,,7,,,-,20,,,-,0,,1,,,-,,-,,
NEW HAMPSHIRE,2017,3,,-,1,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2017,3,2,,3,,9,,3,,1,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2017,3,,-,3,,7,,,-,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
PUERTO RICO,2017,3,,-,0,,1,,,-,,-,,-,2,,27,,,-,7,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MAINE,2017,3,1,,1,,4,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
WISCONSIN,2017,3,3,,12,,58,,10,,20,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,1,,6,,,-,3,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSOURI,2017,3,,-,6,,22,,,-,8,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2017,3,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,3,,-,0,,3,,,-,,-,,-,0,,11,,,-,29,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IDAHO,2017,3,1,,2,,10,,1,,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
E.S. CENTRAL,2017,3,5,,10,,43,,15,,15,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,,
NEW ENGLAND,2017,3,2,,8,,23,,8,,13,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,,
ALABAMA,2017,3,2,,5,,27,,8,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2017,3,,-,2,,10,,,-,7,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2017,3,49,,156,,728,,170,,344,,,-,13,,36,,2,,122,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,3,3,,15,,61,,28,,39,,,-,3,,10,,,-,20,,,-,0,,0,,,-,,-,,
KENTUCKY,2017,3,,-,2,,7,,3,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2017,3,3,,7,,15,,11,,18,,,-,2,,14,,,-,26,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,3,2,,3,,24,,3,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MASSACHUSETTS,2017,3,,-,3,,14,,4,,9,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2017,3,,-,4,,17,,,-,9,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2017,3,,-,1,,4,,2,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW JERSEY,2017,3,,-,2,,18,,,-,4,,,-,1,,5,,,-,6,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
VIRGINIA,2017,3,1,,4,,12,,2,,5,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2017,3,3,,3,,9,,4,,3,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2017,3,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
E.N. CENTRAL,2017,3,8,,35,,299,,31,,79,,,-,1,,7,,1,,9,,,-,0,,1,,,-,,-,,
WEST VIRGINIA,2017,3,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2017,3,,-,1,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW ENGLAND,2017,8,,-,7,,23,,26,,31,,,-,0,,1,,,-,9,,,-,0,,0,,,-,,-,,
CONNECTICUT,2017,3,,-,1,,5,,1,,2,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK CITY,2017,3,1,,4,,12,,13,,9,,,-,1,,5,,,-,9,,,-,0,,0,,,-,,-,,
NORTH DAKOTA,2017,3,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2017,3,,-,1,,8,,2,,10,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OREGON,2017,3,1,,5,,26,,5,,9,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
FLORIDA,2017,3,11,,11,,31,,19,,34,,,-,0,,3,,,-,9,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
RHODE ISLAND,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PACIFIC,2017,4,,-,13,,47,,22,,39,,,-,3,,14,,,-,71,,,-,0,,1,,,-,,-,,
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,,-,1,,6,,1,,8,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
RHODE ISLAND,2017,4,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2017,4,,-,5,,26,,5,,15,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
IDAHO,2017,4,1,,2,,10,,2,,8,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
C.N.M.I.,2017,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,4,2,,1,,10,,3,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW MEXICO,2017,4,,-,1,,7,,1,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2017,4,4,,11,,31,,23,,43,,,-,0,,3,,,-,11,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
PUERTO RICO,2017,4,,-,0,,1,,,-,,-,,-,2,,27,,,-,16,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2017,4,,-,6,,15,,16,,24,,,-,2,,14,,,-,27,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2017,4,1,,1,,3,,1,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2017,4,1,,3,,24,,4,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
S. ATLANTIC,2017,4,8,,25,,79,,41,,111,,,-,2,,7,,,-,25,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,4,11,,15,,122,,32,,39,,,-,0,,4,,,-,3,,,-,0,,1,,,-,,-,,
MARYLAND,2017,4,,-,1,,10,,,-,7,,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NORTH CAROLINA,2017,4,,-,3,,17,,,-,14,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH CAROLINA,2017,4,,-,1,,8,,2,,10,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2017,4,,-,3,,7,,,-,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2017,4,1,,3,,16,,7,,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2017,4,,-,6,,19,,6,,13,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
TEXAS,2017,4,4,,12,,33,,15,,15,,,-,1,,4,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
GUAM,2017,4,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
W.S. CENTRAL,2017,4,5,,17,,39,,21,,27,,,-,1,,4,,,-,2,,,-,0,,1,,,-,,-,,
MASSACHUSETTS,2017,4,2,,3,,14,,7,,10,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2017,4,2,,7,,24,,14,,21,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
TENNESSEE,2017,4,3,,3,,9,,8,,10,,1,,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ALASKA,2017,4,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
LOUISIANA,2017,4,,-,1,,5,,,-,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
INDIANA,2017,4,,-,3,,8,,4,,18,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2017,4,,-,5,,27,,8,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
WYOMING,2017,4,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MONTANA,2017,4,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,4,48,,156,,728,,252,,460,,1,,12,,32,,3,,148,,,-,0,,1,,,-,,-,,
ARIZONA,2017,4,2,,3,,82,,8,,6,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2017,4,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2017,4,1,,5,,25,,10,,27,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WEST VIRGINIA,2017,4,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
HAWAII,2017,4,,-,0,,3,,,-,,-,,-,0,,11,,,-,40,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
E.S. CENTRAL,2017,4,4,,10,,43,,20,,25,,1,,0,,2,,2,,,-,,-,0,,0,,,-,,-,,
NEW ENGLAND,2017,4,5,,7,,23,,15,,15,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2017,4,3,,26,,107,,16,,49,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,4,8,,15,,61,,39,,49,,,-,3,,10,,,-,28,,,-,0,,0,,,-,,-,,
OKLAHOMA,2017,4,1,,3,,9,,4,,4,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
E.N. CENTRAL,2017,4,4,,36,,299,,46,,106,,,-,1,,7,,1,,9,,,-,0,,1,,,-,,-,,
NORTH DAKOTA,2017,4,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2017,4,2,,12,,58,,14,,24,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
CONNECTICUT,2017,4,,-,1,,5,,2,,3,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
COLORADO,2017,4,7,,3,,14,,16,,7,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MAINE,2017,4,1,,1,,4,,3,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MINNESOTA,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW YORK,2017,4,,-,5,,25,,6,,11,,,-,1,,3,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,4,2,,11,,207,,19,,37,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2017,4,,-,2,,18,,,-,8,,,-,0,,5,,,-,8,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MISSOURI,2017,4,2,,6,,22,,6,,10,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
DIST. OF COL.,2017,4,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEVADA,2017,4,,-,0,,2,,1,,3,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2017,4,,-,1,,4,,2,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW HAMPSHIRE,2017,4,,-,1,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2017,4,3,,4,,12,,6,,6,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2017,4,,-,5,,50,,3,,14,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
KANSAS,2017,4,,-,2,,7,,2,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WASHINGTON,2017,4,,-,0,,34,,,-,,-,,-,0,,2,,,-,4,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2017,4,,-,9,,65,,1,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,4,,-,2,,7,,3,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
AMER. SAMOA,2017,4,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,4,6,,4,,12,,19,,9,,,-,0,,5,,,-,11,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,5,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
ARKANSAS,2017,5,2,,1,,4,,4,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2017,5,1,,2,,7,,4,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,5,6,,11,,31,,29,,55,,,-,0,,3,,,-,14,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2017,5,,-,1,,10,,3,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DIST. OF COL.,2017,5,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW JERSEY,2017,5,,-,1,,18,,,-,8,,,-,0,,6,,,-,11,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2017,5,1,,1,,7,,4,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WYOMING,2017,5,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2017,5,,-,1,,8,,4,,13,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2017,5,,-,6,,22,,6,,16,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2017,5,2,,12,,62,,22,,34,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
LOUISIANA,2017,5,4,,1,,5,,9,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
E.S. CENTRAL,2017,5,3,,10,,43,,26,,34,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,,
GUAM,2017,5,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
IDAHO,2017,5,1,,2,,10,,4,,10,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
W.N. CENTRAL,2017,5,1,,26,,107,,24,,69,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,,
